node,attribute,degree,edge,edge_degree,target,attribute,degree
Human_BRAF,Gene,54776,hasMutation,316,Missense,Missense,4228
Human_BRAF,Gene,54776,hasMutation,57,CodingSilent,CodingSilent,1101
Human_BRAF,Gene,54776,hasMutation,15,DeletionInframe,DeletionInframe,109
Human_BRAF,Gene,54776,hasMutation,15,InsertionInframe,InsertionInframe,435
Human_BRAF,Gene,54776,associatedWith,6,Cancer-NS_NS,Cancer,78
Human_ATM,Gene,30045,associatedWith,6,Cancer-NS_NS,Cancer,78
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_ER-PR-positive_carcinoma,Cancer,60
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_ER-PR-positive_carcinoma,Cancer,60
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_ER-PR-positive_carcinoma,Cancer,60
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_HER-positive_carcinoma,Cancer,22
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_HER-positive_carcinoma,Cancer,22
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_NS,Cancer,694
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_NS,Cancer,694
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_NS,Cancer,694
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_acinar_carcinoma,Cancer,43
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_acinar_carcinoma,Cancer,43
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_acinar_carcinoma,Cancer,43
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_acinic_cell_carcinoma,Cancer,10
Human_BRAF,Gene,54776,associatedWith,6,Cancer-carcinoma_adenocarcinoma,Cancer,2859
Human_EGFR,Gene,55467,associatedWith,6,Cancer-carcinoma_adenocarcinoma,Cancer,2859
Human_ATM,Gene,30045,associatedWith,6,Cancer-carcinoma_adenocarcinoma,Cancer,2859
